sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,75.0,85.9,83.5,90.5,0.9,33.7,6.6,31.3,3.4
1,77.0,89.6,80.6,92.6,0.9,25.0,6.0,44.0,2.0
2,69.0,82.6,97.1,75.6,0.8,34.0,1.0,23.0,11.0
3,76.0,93.4,84.8,100.0,0.9,28.0,5.0,43.0,0.0
4,82.0,90.2,84.3,100.0,0.9,43.0,8.0,31.0,0.0
5,69.0,92.8,94.1,91.4,0.9,32.0,2.0,32.0,3.0
6,85.0,87.1,83.6,95.8,0.9,46.0,9.0,28.0,2.0
7,100.0,93.0,90.6,96.0,0.9,48.0,5.0,45.0,2.0
8,74.0,78.4,73.9,89.5,0.8,34.0,12.0,24.0,4.0
9,57.0,73.7,76.0,67.9,0.7,19.0,6.0,23.0,9.0
10,61.0,78.7,70.0,96.6,0.8,28.0,12.0,20.0,1.0
